Family,Species,Abbreviation
Acroporidae,Acropora austera ,Aaus
Acroporidae,Acropora glauca ,Agla
Acroporidae,Acropora hyacinthus ,Ahya
Acroporidae,Acropora intermedia ,Aint
Acroporidae,Acropora longicyathus ,Alon
Acroporidae,Acropora loripes ,Alor
Acroporidae,Acropora micropthalma,Amic
Acroporidae,Acropora millepora ,Amil
Acroporidae,Acropora muricata ,Amur
Acroporidae,Acropora tenuis ,Aten
Acroporidae,Montipora aequituberculata ,Maeq
Acroporidae,Montipora digitata ,Mdig
Diploastraeidae,Diploastrea heliopora ,Dhel
Euphylliidae,Galaxea fascicularis ,Gfas
Lobophyllidae,Lobophyllia corymbosa ,Lcor
Lobophyllidae,Lobophyllia hemprichii ,Lhem
Merulinidae,Dipsastraea matthaii ,Dmat
Merulinidae,Dipsastraea pallida ,Dpal
Merulinidae,Goniastrea retiformis ,Gret
Merulinidae,Mycedium elephantotus ,Mele
Merulinidae,Oulophyllia crispa ,Ocri
Merulinidae,Platygyra daedalea ,Pdae
Pachyseridae,Pachyseris speciosa,Pspe
Poritidae,Porites cylindrica ,Pcyl
Poritidae,Porites lobata ,Plob
